number,leg,dartScore,bed,aimedat,sB4Dart,sAfDart,average
1,1,60,t20,t20,501,441,180
2,1,60,t20,t20,441,381,180
3,1,60,t20,t20,381,321,180
4,1,60,t20,t20,321,261,180
5,1,1,i1,t20,261,260,144.6
6,1,1,i1,t20,260,259,121
7,1,20,i20,t20,259,239,112.29
8,1,19,o19,t19,239,220,105.38
9,1,60,t20,t20,220,160,113.67
10,1,1,o1,t20,160,159,102.6
11,1,57,t19,t19,159,102,108.82
12,1,25,obull,ibull,102,77,106
13,1,19,i19,t19,77,58,102.23
14,1,18,o18,o18,58,40,98.79
15,1,40,d20,d20,40,0,100.2
16,2,20,o20,t20,501,481,97.69
17,2,60,t20,t20,481,421,102.53
18,2,20,i20,t20,421,401,100.17
19,2,60,t20,t20,401,341,104.37
20,2,60,t20,t20,341,281,108.15
21,2,60,t20,t20,281,221,111.57
22,2,20,i20,t20,221,201,109.23
23,2,57,t19,t19,201,144,111.91
24,2,19,o19,t19,144,125,109.63
25,2,25,obull,ibull,125,100,108.24
26,2,1,o1,t20,100,99,104.19
27,2,19,o19,t19,99,80,102.44
28,2,40,d20,d40,80,40,103.07
29,2,40,d20,d20,40,0,103.66
30,3,20,o20,t20,501,481,102.2
31,3,60,t20,t20,481,421,104.71
32,3,20,o20,t20,421,401,103.31
33,3,60,t20,t20,401,341,105.64
34,3,19,i19,t19,341,322,104.21
35,3,19,o19,t19,322,303,102.86
36,3,57,t19,t19,303,246,104.75
37,3,19,i19,t19,246,227,103.46
38,3,19,o19,t19,227,208,102.24
39,3,60,t20,t20,208,148,104.23
40,3,60,t20,t20,148,88,106.13
41,3,5,o5,t20,88,83,103.9
42,3,17,i17,t17,83,66,102.64
43,3,48,t16,NA,66,18,103.6
44,3,9,o9,d9,18,9,101.86
45,4,20,o20,t20,501,481,100.93
46,4,20,o20,t20,481,461,100.04
47,4,19,i19,t19,461,442,99.13
48,4,20,i20,t20,442,422,98.31
49,4,57,t19,t19,422,365,99.8
50,4,57,t19,t19,365,308,101.22
51,4,18,i18,t18,308,290,100.29
52,4,60,t20,t20,290,230,101.83
53,4,60,t20,t20,230,170,103.3
54,4,20,o20,t20,170,150,102.5
55,4,1,i1,t20,150,149,100.69
56,4,19,i19,t19,149,130,99.91
57,4,60,t20,t20,130,70,101.32
58,4,20,i20,t20,70,50,100.6
59,4,13,i13,ibull,50,37,99.56
60,5,20,i20,t20,501,481,98.9
61,5,57,t19,t19,481,424,100.08
62,5,57,t19,t19,424,367,101.23
63,5,20,i20,t20,367,347,100.57
64,5,57,t19,t19,347,290,101.67
65,5,9,t3,t19,290,281,100.52
66,5,5,o5,t20,281,276,99.23
67,5,20,i20,t20,276,256,98.64
68,5,19,o19,t19,256,237,98.03
69,5,20,i20,t20,237,217,97.48
70,5,60,t20,t20,217,157,98.66
71,5,60,t20,t20,157,97,99.8
72,5,19,o19,t19,97,78,99.21
73,5,18,i18,t18,78,60,98.59
74,5,20,o20,o20,60,40,98.07
75,5,20,o20,d20,40,20,97.56
76,5,10,o10,d10,20,10,96.67
77,5,0,m5,d5,10,10,95.42
78,6,20,o20,t20,501,481,94.96
79,6,60,t20,t20,481,421,96.04
80,6,60,t20,t20,421,361,97.09
81,6,60,t20,t20,361,301,98.11
82,6,60,t20,t20,301,241,99.11
83,6,60,t20,t20,241,181,100.08
84,6,20,i20,t20,181,161,99.61
85,6,20,i20,t20,161,141,99.14
86,6,25,obull,ibull,141,116,98.86
87,6,57,t19,t19,116,59,99.69
88,6,3,o3,o19,59,56,98.66
89,6,13,o13,o13,56,43,97.99
90,7,20,i20,t20,501,481,97.57
91,7,19,o19,t19,481,462,97.12
92,7,57,t19,t19,462,405,97.92
93,7,60,t20,t20,405,345,98.81
94,7,20,i20,t20,345,325,98.39
95,7,7,i7,t19,325,318,97.58
96,7,20,o20,t20,318,298,97.19
97,7,20,o20,t20,298,278,96.8
98,7,20,o20,t20,278,258,96.43
99,7,5,o5,t20,258,253,95.61
100,7,20,i20,t20,253,233,95.25
101,7,3,i3,t19,233,230,94.4
102,7,60,t20,t20,230,170,95.24
103,7,20,o20,t20,170,150,94.89
104,7,20,i20,t20,150,130,94.56
105,8,20,o20,t20,501,481,94.23
106,8,60,t20,t20,481,421,95.04
107,8,60,t20,t20,421,361,95.83
108,8,20,i20,t20,361,341,95.5
109,8,19,o19,t19,341,322,95.15
110,8,19,o19,t19,322,303,94.8
111,8,19,o19,t19,303,284,94.46
112,8,19,o19,t19,284,265,94.13
113,8,1,o1,t20,265,264,93.32
114,8,20,o20,t20,264,244,93.03
115,8,60,t20,t20,244,184,93.78
116,8,20,o20,t20,184,164,93.49
117,9,20,o20,t20,501,481,93.21
118,9,20,i20,t20,481,461,92.92
119,9,20,i20,t20,461,441,92.65
120,9,60,t20,t20,441,381,93.38
121,9,20,i20,t20,381,361,93.1
122,9,60,t20,t20,361,301,93.81
123,9,60,t20,t20,301,241,94.51
124,9,20,i20,t20,241,221,94.23
125,9,17,o17,t17,221,204,93.89
126,9,60,t20,t20,204,144,94.57
127,9,60,t20,t20,144,84,95.24
128,9,1,o1,t20,84,83,94.52
129,9,17,i17,t17,83,66,94.19
130,9,16,i16,t16,66,50,93.83
131,9,50,ibull,ibull,50,0,94.26
132,10,60,t20,t20,501,441,94.91
133,10,60,t20,t20,441,381,95.55
134,10,60,t20,t20,381,321,96.18
135,10,20,i20,t20,321,301,95.91
136,10,57,t19,t19,301,244,96.46
137,10,57,t19,t19,244,187,97.01
138,10,20,i20,t20,187,167,96.74
139,10,51,t17,t17,167,116,97.14
140,10,1,i1,t20,116,115,96.47
141,10,15,t5,t20,115,100,96.11
142,10,20,o20,t20,100,80,95.85
143,10,12,i12,ibull,80,68,95.43
144,10,20,o20,t20,68,48,95.19
145,10,8,o8,o8,48,40,94.7
146,10,20,o20,d20,40,20,94.46
