"number","leg","dartScore","bed","aimedat","sB4Dart","sAfDart","average"
1,1,60,"t20","t20",501,441,180
2,1,20,"i20","t20",441,421,120
3,1,17,"i17","t17",421,404,97
4,1,5,"o5","t20",404,399,76.5
5,1,60,"t20","t20",399,339,97.2
6,1,60,"t20","t20",339,279,111
7,1,60,"t20","t20",279,219,120.86
8,1,20,"i20","t20",219,199,113.25
9,1,57,"t19","t19",199,142,119.67
10,1,17,"i17","t17",142,125,112.8
11,1,51,"t17","t17",125,74,116.45
12,1,42,"14","NA",74,32,117.25
13,1,16,"o16","d16",32,16,111.92
14,1,0,"m8","d8",16,16,103.93
15,1,16,"d8","d8",16,0,100.2
16,2,20,"i20","t20",501,481,97.69
17,2,57,"t19","t19",481,424,102
18,2,57,"t19","t19",424,367,105.83
19,2,60,"t20","t20",367,307,109.74
20,2,60,"t20","t20",307,247,113.25
21,2,20,"o20","t20",247,227,110.71
22,2,60,"t20","t20",227,167,113.86
23,2,5,"o5","t20",167,162,109.57
24,2,60,"t20","t20",162,102,112.5
25,2,60,"t20","t20",102,42,115.2
26,2,2,"o2","o2",42,40,111
27,2,20,"o20","d20",40,20,109.11
28,3,60,"t20","t20",501,441,111.64
29,3,60,"t20","t20",441,381,114
30,3,20,"i20","t20",381,361,112.2
31,3,60,"t20","t20",361,301,114.39
32,3,60,"t20","t20",301,241,116.44
33,3,60,"t20","t20",241,181,118.36
34,3,20,"o20","t20",181,161,116.65
35,3,15,"t5","t20",161,146,114.6
36,3,3,"t1","t20",146,143,111.67
37,3,20,"i20","t20",143,123,110.27
38,3,57,"t19","t19",123,66,111.87
39,3,25,"obull","ibull",66,41,110.92
40,3,1,"o1","o1",41,40,108.23
41,3,40,"d20","d20",40,0,108.51
42,4,60,"t20","t20",501,441,110.21
43,4,60,"t20","t20",441,381,111.84
44,4,57,"t19","t19",381,324,113.18
45,4,60,"t20","t20",324,264,114.67
46,4,60,"t20","t20",264,204,116.09
47,4,60,"t20","t20",204,144,117.45
48,4,60,"t20","t20",144,84,118.75
49,4,1,"i1","t20",84,83,116.39
50,4,51,"t17","t17",83,32,117.12
